FiscalYear,School Entity ID,SchoolName,subject_norm,Number Tested,Percent Passing
2022,4737,,ELA,*,11
2022,4737,,Math,*,10
2022,1001800,,ELA,*,9
2022,1001800,,Math,*,6
2022,4728,,ELA,*,11
2022,4728,,Math,*,6
2022,4741,,ELA,*,10
2022,4741,,Math,*,7
2022,4721,,ELA,*,43
2022,4721,,Math,*,29
2022,92686,,ELA,*,*
2022,92686,,Math,*,*
2022,4724,,ELA,*,3
2022,4724,,Math,*,7
2022,1001188,,ELA,*,50
2022,1001188,,Math,*,*
2022,4711,,ELA,*,48
2022,4711,,Math,*,40
2022,89607,,ELA,*,*
2022,89607,,Math,*,*
2022,4717,,ELA,*,16
2022,4717,,Math,*,5
2022,4799,,ELA,*,40
2022,4799,,Math,*,38
2022,85879,,ELA,*,15
2022,85879,,Math,*,*
2022,90775,,ELA,*,38
2022,90775,,Math,*,13
2022,4754,,ELA,*,25
2022,4754,,Math,*,15
2022,4759,,ELA,*,*
2022,4759,,Math,*,*
2022,4801,,ELA,*,28
2022,4801,,Math,*,17
2022,4802,,ELA,*,6
2022,4802,,Math,*,20
2022,81028,,ELA,*,23
2022,81028,,Math,*,*
2022,1001688,,ELA,*,19
2022,1001688,,Math,*,9
2022,4773,,ELA,*,26
2022,4773,,Math,*,15
2022,79505,,ELA,*,22
2022,79505,,Math,*,10
2022,4760,,ELA,*,45
2022,4760,,Math,*,45
2022,4783,,ELA,391,55
2022,4783,,Math,397,34
2022,1001827,,ELA,*,42
2022,1001827,,Math,*,17
2022,4762,,ELA,*,63
2022,4762,,Math,*,66
2022,4751,,ELA,*,28
2022,4751,,Math,*,31
2022,4800,,ELA,*,12
2022,4800,,Math,*,12
2022,4757,,ELA,*,22
2022,4757,,Math,*,17
2022,90863,,ELA,*,94
2022,90863,,Math,*,91
2022,81127,,ELA,*,*
2022,81127,,Math,*,*
2022,85842,,ELA,*,*
2022,85842,,Math,*,*
2022,1001242,,ELA,*,*
2022,1001242,,Math,*,*
2022,4842,,ELA,*,58
2022,4842,,Math,*,31
2022,4803,,ELA,*,*
2022,4803,,Math,*,*
2022,4819,,ELA,*,50
2022,4819,,Math,*,33
2022,4820,,ELA,*,23
2022,4820,,Math,*,18
2022,230656,,ELA,*,56
2022,230656,,Math,*,45
2022,4828,,ELA,*,20
2022,4828,,Math,*,20
2022,4825,,ELA,*,29
2022,4825,,Math,*,24
2022,4845,,ELA,*,74
2022,4845,,Math,*,64
2022,4832,,ELA,*,14
2022,4832,,Math,*,15
2022,92913,,ELA,*,*
2022,92913,,Math,*,*
2022,1001183,,ELA,*,*
2022,1001183,,Math,*,*
2022,4838,,ELA,*,11
2022,4838,,Math,*,11
2022,78916,,ELA,*,*
2022,78916,,Math,*,*
2022,4823,,ELA,*,21
2022,4823,,Math,*,22
2022,90038,,Math,*,*
2022,4855,,ELA,*,25
2022,4855,,Math,*,14
2022,1001828,,ELA,*,50
2022,1001828,,Math,*,20
2022,4873,,ELA,*,24
2022,4873,,Math,*,12
2022,4878,,ELA,*,13
2022,4878,,Math,*,*
2022,4869,,ELA,*,12
2022,4869,,Math,*,6
2022,1001177,,ELA,*,25
2022,1001177,,Math,*,4
2022,4860,,ELA,*,32
2022,4860,,Math,*,24
2022,4863,,ELA,*,4
2022,4863,,Math,*,*
2022,89776,,ELA,*,*
2022,89776,,Math,*,*
2022,4875,,ELA,*,20
2022,4875,,Math,*,*
2022,4893,,ELA,*,16
2022,4893,,Math,*,13
2022,90064,,ELA,*,*
2022,90064,,Math,*,*
2022,4891,,ELA,*,33
2022,4891,,Math,*,20
2022,92296,,ELA,*,34
2022,92296,,Math,*,*
2022,4884,,ELA,*,32
2022,4884,,Math,*,29
2022,4885,,ELA,*,7
2022,4885,,Math,*,*
2022,216045,,ELA,*,*
2022,216045,,Math,*,*
2022,4889,,ELA,*,57
2022,4889,,Math,*,50
2022,1001768,,ELA,*,*
2022,1001768,,Math,*,25
2022,4908,,ELA,*,*
2022,4908,,Math,*,*
2022,4903,,ELA,*,30
2022,4903,,Math,*,25
2022,4906,,ELA,*,36
2022,4906,,Math,*,40
2022,6203,,ELA,*,4
2022,6203,,Math,*,*
2022,6197,,ELA,*,17
2022,6197,,Math,*,8
2022,80408,,ELA,*,*
2022,80408,,Math,*,*
2022,79123,,ELA,*,*
2022,79123,,Math,*,*
2022,742847,,ELA,*,*
2022,742847,,Math,*,*
2022,91304,,ELA,*,26
2022,91304,,Math,*,36
