"analysis_neighborhood","n","pass_n","pass_rate_pct"
"Mission Bay","221","213","96.38009049773755656100"
"Potrero Hill","88","83","94.31818181818181818200"
"Western Addition","35","33","94.28571428571428571400"
"Hayes Valley","86","81","94.18604651162790697700"
"Financial District/South Beach","509","468","91.94499017681728880200"
"Tenderloin","235","215","91.48936170212765957400"
"Inner Sunset","99","90","90.90909090909090909100"
"Haight Ashbury","64","58","90.62500000000000000000"
"North Beach","159","144","90.56603773584905660400"
"Bayview Hunters Point","121","106","87.60330578512396694200"
"Nob Hill","136","119","87.50000000000000000000"
"Inner Richmond","70","61","87.14285714285714285700"
"Pacific Heights","31","27","87.09677419354838709700"
"South of Market","145","126","86.89655172413793103400"
"Excelsior","37","32","86.48648648648648648600"
"Castro/Upper Market","58","50","86.20689655172413793100"
"Chinatown","247","212","85.82995951417004048600"
"Sunset/Parkside","191","161","84.29319371727748691100"
"Bernal Heights","55","46","83.63636363636363636400"
"West of Twin Peaks","69","57","82.60869565217391304300"
"Russian Hill","62","51","82.25806451612903225800"
"Noe Valley","43","35","81.39534883720930232600"
"Marina","75","61","81.33333333333333333300"
"Lone Mountain/USF","30","24","80.00000000000000000000"
"Mission","482","384","79.66804979253112033200"
"Outer Richmond","98","77","78.57142857142857142900"
"Lakeshore","49","36","73.46938775510204081600"
"Japantown","41","30","73.17073170731707317100"
