"inspection_date","inspector","district","subdistrict","subsector","permit_number","dba","permit_type","street_address","street_address_clean","inspection_type","inspection_frequency_type","total_time","facility_rating_status","census","suspension_notes","inspection_notes","violation_count","violation_codes","latitude","longitude","point","analysis_neighborhood","supervisor_district","data_as_of","data_loaded_at"
"2025-01-02T00:00:00.000","Katie Dea","3","304","177","97803","DANDELION CHOCOLATE, INC.","H26 - RESTAURANT OVER 2,000 SQFT","298 ALABAMA ST","298 ALABAMA ST","Routine","1","100","Pass","177",,,"5","- Food, equipment, or utensils that are found to be unsanitary or in disrepair may be Voluntarily Condemned and Destroyed by the person in charge., 114143(d), 114266, 114268, 114268.1, 114271, 114272 - Provide walls / ceilings using materials that are durable, smooth, nonabsorbent, light-colored, and washable surfaces. All floor surfaces, other than the customer service areas, shall be approved, smooth, durable, and made of nonabsorbent material that is easily cleanable. Approved base coving shall be provided in all areas, except customer service areas and where food is stored in original unopened containers. Food facilities shall be fully enclosed. All food facilities shall be kept clean and in good repair., 114135, 114185.1 114185.3 [d-e] - Store wiping cloths used to wipe service counters, scales, or other surfaces that may come into contact with food in clean water with sanitizer or use only once; separate sanitizing containers shall be provided for wiping cloths used with raw animal foods., 113996, 113998, 114037, 114429, 114429.3, 114429.5 - Keep potentially hazardous foods (PHF) cold at 41°F or below or hot held at 135°F or above. Immediately discontinue storing PHF at room temperature., 114067(f, g), 114099, 114099.3, 114099.5, 114101(a), 114101.1, 114101.2, 114103, 114107, 114125) - Provide an approved warewashing facility. Obtain chlorine test strips to monitor chlorine sanitizer solutions and mechanical dishwasher. Obtain quaternary ammonia test strips to monitor quaternary ammonia sanitizer solutions.","37.76576400000100","-122.4127980000020","POINT (-122.412798 37.765764)","Mission","9","2025-07-01T10:09:15.000","2025-12-17T02:36:11.797"
"2025-01-02T00:00:00.000","Patrick Wood","1","103","607","117057","CAVANA ROOFTOP BAR","H87 - BARS/TAVERNS W/FOOD PREP","108 CHANNEL ST FL 17","108 CHANNEL ST","Routine","1","45","Pass","607",,,"3","113984(d), 114097, 114099.1, 114099.4, 114099.6, 114101(b, c, d), 114105, 114109, 114111, 114113, 11415 (a, b, D), 114117, 114125(b), 114141 - Properly wash, rinse and sanitize all food contact surfaces. Make a 100 ppm bleach sanitizing solution or a 200 ppm quaternary ammonia solution for the third compartment., 113953, 113953.1, 113953.2, 114067(f) - Provide soap and single-use towels in dispensers, or a drying device at each handwash sink at all times. Maintain all handwash sinks unobstructed and accessible at all times., 114018, 114020 - Discontinue thawing potentially hazardous foods at room temperature or in standing water. Use one of the following approved methods:  - Under potable running water of sufficient velocity to wash away loose food particles using water no greater than 70°F for no more than 2 hours.  - In a refrigeration unit at 41°F or below  - In a microwave  - As part of the cooking process","37.77471900000100","-122.3905050000020","POINT (-122.390505 37.774719)","Mission Bay","6","2025-07-01T10:09:15.000","2025-12-17T02:36:11.797"
"2025-01-02T00:00:00.000","Tiombe Wiley","3","305","201","117697","MARTHA'S RESTAURANT","H26 - RESTAURANT OVER 2,000 SQFT","2034 MISSION ST","2034 MISSION ST","Routine","2","55","Pass","201",,,"8","114130-114130.5, 114132, 114133, 114137, 114139, 114153, 114163, 114165, 114167, 114169, 114175, 114177, 114180, 114182 - Ensure all equipment is approved, properly installed, clean, and maintained in good repair. Ensure all appliances are NSF-approved, commercial grade, durable, and easily cleanable., 113996, 113998, 114037, 114429, 114429.3, 114429.5 - Keep potentially hazardous foods (PHF) cold at 41°F or below or hot held at 135°F or above. Immediately discontinue storing PHF at room temperature., 114143(d), 114266, 114268, 114268.1, 114271, 114272 - Provide walls / ceilings using materials that are durable, smooth, nonabsorbent, light-colored, and washable surfaces. All floor surfaces, other than the customer service areas, shall be approved, smooth, durable, and made of nonabsorbent material that is easily cleanable. Approved base coving shall be provided in all areas, except customer service areas and where food is stored in original unopened containers. Food facilities shall be fully enclosed. All food facilities shall be kept clean and in good repair., 113967, 113976, 113980, 113988, 113990, 114035, 114254.3, 113975 - Discard all contaminated/adulterated food immediately if it bears or contains any poisonous or deleterious substance that may render it impure or injurious to health., 113953, 113953.1, 113953.2, 114067(f) - Provide soap and single-use towels in dispensers, or a drying device at each handwash sink at all times. Maintain all handwash sinks unobstructed and accessible at all times., 114074, 114081, 114119, 114121, 114161, 114178, 114179, 114083, 114185, 114185.2, 114185.3, 114185.4, 114185.5 - All clean and soiled linen shall be properly stored; non-food items shall be stored and displayed separate from food and food-contact surfaces. Utensils and equipment shall be handled and stored so as to be protected from contamination., 114018, 114020 - Discontinue thawing potentially hazardous foods at room temperature or in standing water. Use one of the following approved methods:  - Under potable running water of sufficient velocity to wash away loose food particles using water no greater than 70°F for no more than 2 hours.  - In a refrigeration unit at 41°F or below  - In a microwave  - As part of the cooking process, 1114149-114149.3, 114252, 114252.1 - Provide exhaust hoods to remove toxic gases, heat, grease, vapors, and smoke and be approved by the local building department. Canopy-type hoods shall extend 6 inches beyond all cooking equipment. Toilet rooms shall be vented to the outside air by a screened openable window, an air shaft, or a light-switch activated exhaust fan, consistent with local building codes. Adequate lighting shall be provided in all areas to facilitate cleaning and inspection. Light fixtures in areas where open food is stored, served, prepared, and where utensils are washed shall be of shatterproof construction or protected with light shields.","37.76444100000100","-122.4199395000020","POINT (-122.4199395 37.764441)","Mission","9","2025-07-01T10:09:15.000","2025-12-17T02:36:11.797"
"2025-01-02T00:00:00.000","William Bajjalieh","5","512","326","90314","NEW SUNRISE MARKET","H03 - RETAIL MKTS W/O PREP (UNDER 5001)","1933 IRVING STREET","1933 IRVING STREET","Routine","1","30","Pass","326",,,"2","114130-114130.5, 114132, 114133, 114137, 114139, 114153, 114163, 114165, 114167, 114169, 114175, 114177, 114180, 114182 - Ensure all equipment is approved, properly installed, clean, and maintained in good repair. Ensure all appliances are NSF-approved, commercial grade, durable, and easily cleanable., 113953, 113953.1, 113953.2, 114067(f) - Provide soap and single-use towels in dispensers, or a drying device at each handwash sink at all times. Maintain all handwash sinks unobstructed and accessible at all times.","37.76325300000100","-122.4787905000020","POINT (-122.4787905 37.763253)","Sunset/Parkside","4","2025-07-01T10:09:15.000","2025-12-17T02:36:11.797"
"2025-01-02T00:00:00.000","Danny Nguyen","5","502","402","115931","HAMBURGER HAVEN LTD. LIABILITY CO.","H25 - RESTAURANT 1,000 - 2,000 SQFT","800 CLEMENT ST","800 CLEMENT ST","Routine","2","45","Pass","402",,,"2","114135, 114185.1 114185.3 [d-e] - Store wiping cloths used to wipe service counters, scales, or other surfaces that may come into contact with food in clean water with sanitizer or use only once; separate sanitizing containers shall be provided for wiping cloths used with raw animal foods., 114074, 114081, 114119, 114121, 114161, 114178, 114179, 114083, 114185, 114185.2, 114185.3, 114185.4, 114185.5 - All clean and soiled linen shall be properly stored; non-food items shall be stored and displayed separate from food and food-contact surfaces. Utensils and equipment shall be handled and stored so as to be protected from contamination.","37.78304400000100","-122.4678825000020","POINT (-122.4678825 37.783044)","Inner Richmond","1","2025-07-01T10:09:15.000","2025-12-17T02:36:11.797"
"2025-01-02T00:00:00.000","Maribel Rodriguez","3","309","228A","88115","SIGHTGLASS COFFEE","H25 - RESTAURANT 1,000 - 2,000 SQFT","3014 20TH ST","3014 20TH ST","Routine","1","60","Closure","228A",,,"6","113953(c), 114163(a)(3), 114189, 114192.1, 114195, 114279 - Immediately provide hot running potable water of at least 120°F or greater for the entire food preparation facility., 114130-114130.5, 114132, 114133, 114137, 114139, 114153, 114163, 114165, 114167, 114169, 114175, 114177, 114180, 114182 - Ensure all equipment is approved, properly installed, clean, and maintained in good repair. Ensure all appliances are NSF-approved, commercial grade, durable, and easily cleanable.,  - Submit additional documents as instructed., 113984(d), 114097, 114099.1, 114099.4, 114099.6, 114101(b, c, d), 114105, 114109, 114111, 114113, 11415 (a, b, D), 114117, 114125(b), 114141 - Properly wash, rinse and sanitize all food contact surfaces. Make a 100 ppm bleach sanitizing solution or a 200 ppm quaternary ammonia solution for the third compartment., 113947.1-113947.6, 113948 - Obtain a state approved food safety certification course within 60 days of operation or when a Food Safety Manager has left the facility. Maintain copies of food safety certificates (food safety manager and food handler cards) on site.,  - IMMEDIATE HEALTH PERMIT SUSPENSION AND CLOSURE The permit to operate the above named food facility is hereby temporarily suspended, and the facility is ordered immediately closed under the authority of Sections 114405 and 114409 of Division 104, Part 7, Chapter 13, Article 3 of the California Health and Safety Code and/or City and County of San Francisco Health Code §§ 440 (j) and 440.1. The attached Inspection Report specifies the conditions that warrant this closure and the Sections of the law that are being violated. Any food facility for which the permit has been temporarily suspended shall cease all food handling, close and remain closed until all conditions warranting the closure are corrected and your permit has been reinstated by a representative of Environmental Health.   You are hereby notified that you have the right to request a hearing, within 15 calendar days after service of this Notice to show cause why the permit suspension is not warranted. Your failure to request a hearing within 15 calendar days shall be deemed a waiver of your right to a hearing.   An owner, manager or operator who fails to comply with this Closure Notice may be found guilty of a misdemeanor, with a possible fine of $1,000.00 and/or imprisonment for not more than six months for each offense. This Health Permit Suspension and Closure Notice is issued to you under the authority of the California Health and Safety Code, Division 104, Part 7, Chapter 13, Article 3. Copies of the Code Sections referred to herein may be reviewed at most public libraries, the Internet, or at Environmental Health. Contact this office at the number noted above, during normal days of business to request a re-inspection, or if you have any questions. If you are calling after 4:30 pm or on weekends, leave a message at (415) 252-3800 and an inspector/on call staff will call you back at their earliest convenience.   The CLOSED placard was issued and posted this date. The Closure placard shall not be removed, moved, blocked, or obstructed in any manner. The Closure placard shall only be removed by an inspector from this Department.","37.75932000000100","-122.4112950000020","POINT (-122.411295 37.75932)","Mission","9","2025-07-01T10:09:15.000","2025-12-17T02:36:11.797"
"2025-01-02T00:00:00.000","Sophia Huie","2","202","113","27195","GOURMET DELIGHT BBQ","H28 - TAKE-OUTS","1045 STOCKTON ST","1045 STOCKTON ST","Routine","2","75","Pass","113",,,"5","114135, 114185.1 114185.3 [d-e] - Store wiping cloths used to wipe service counters, scales, or other surfaces that may come into contact with food in clean water with sanitizer or use only once; separate sanitizing containers shall be provided for wiping cloths used with raw animal foods., 114143(d), 114266, 114268, 114268.1, 114271, 114272 - Provide walls / ceilings using materials that are durable, smooth, nonabsorbent, light-colored, and washable surfaces. All floor surfaces, other than the customer service areas, shall be approved, smooth, durable, and made of nonabsorbent material that is easily cleanable. Approved base coving shall be provided in all areas, except customer service areas and where food is stored in original unopened containers. Food facilities shall be fully enclosed. All food facilities shall be kept clean and in good repair., 114130-114130.5, 114132, 114133, 114137, 114139, 114153, 114163, 114165, 114167, 114169, 114175, 114177, 114180, 114182 - Ensure all equipment is approved, properly installed, clean, and maintained in good repair. Ensure all appliances are NSF-approved, commercial grade, durable, and easily cleanable., 1114149-114149.3, 114252, 114252.1 - Provide exhaust hoods to remove toxic gases, heat, grease, vapors, and smoke and be approved by the local building department. Canopy-type hoods shall extend 6 inches beyond all cooking equipment. Toilet rooms shall be vented to the outside air by a screened openable window, an air shaft, or a light-switch activated exhaust fan, consistent with local building codes. Adequate lighting shall be provided in all areas to facilitate cleaning and inspection. Light fixtures in areas where open food is stored, served, prepared, and where utensils are washed shall be of shatterproof construction or protected with light shields., 113980, 113984 (a, b, d, e, f), 113986, 114060, 114067 (a, d, e), 114069, 114073, 114077, 114089.1(c), 114143(c) - Ensure all food is separated and protected from potential cross contamination. Store produce and ready-to-eat foods completely separate or above raw foods including but not limited to raw eggs, fish, meat, ratites, game animals, and poultry. Provide adequate sneeze-guard protection, a container that has a tight fitting and securely attached lid, or dispense food from an approved mechanical dispenser.","37.79553600000100","-122.4084915000020","POINT (-122.4084915 37.795536)","Chinatown","3","2025-07-01T10:09:15.000","2025-12-17T02:36:11.797"
"2025-01-02T00:00:00.000","William Bajjalieh","5","505","328","06735156","MILKTOPIA","H25 - RESTAURANT 1,000 - 2,000 SQFT","1139 TARAVAL ST","1139 TARAVAL ST","Routine","2","30","Pass","328",,,"3","113984(d), 114097, 114099.1, 114099.4, 114099.6, 114101(b, c, d), 114105, 114109, 114111, 114113, 11415 (a, b, D), 114117, 114125(b), 114141 - Properly wash, rinse and sanitize all food contact surfaces. Make a 100 ppm bleach sanitizing solution or a 200 ppm quaternary ammonia solution for the third compartment., 1114149-114149.3, 114252, 114252.1 - Provide exhaust hoods to remove toxic gases, heat, grease, vapors, and smoke and be approved by the local building department. Canopy-type hoods shall extend 6 inches beyond all cooking equipment. Toilet rooms shall be vented to the outside air by a screened openable window, an air shaft, or a light-switch activated exhaust fan, consistent with local building codes. Adequate lighting shall be provided in all areas to facilitate cleaning and inspection. Light fixtures in areas where open food is stored, served, prepared, and where utensils are washed shall be of shatterproof construction or protected with light shields., 113953, 113953.1, 113953.2, 114067(f) - Provide soap and single-use towels in dispensers, or a drying device at each handwash sink at all times. Maintain all handwash sinks unobstructed and accessible at all times.","37.74276900000100","-122.4785790000020","POINT (-122.478579 37.742769)","Sunset/Parkside","4","2025-07-01T10:09:15.000","2025-12-17T02:36:11.797"
"2025-01-02T00:00:00.000","Zack Parsons","1","104","226","FYF120081","HUMPHRY SLOCOMBE ICE CREAM","H24 - RESTAURANT UNDER 1,000 SQFT","699 22ND ST","699 22ND ST","Routine","2","60","Pass","226",,,,,"37.75787100000100","-122.3881290000020","POINT (-122.388129 37.757871)","Potrero Hill","10","2025-07-01T10:09:15.000","2025-12-17T02:36:11.797"
"2025-01-02T00:00:00.000","Danny Lee","1","106","257","15579","J & S PRODUCE INC","H03 - RETAIL MKTS W/O PREP (UNDER 5001)","2542 SAN BRUNO AVE","2542 SAN BRUNO AVE","Routine","1","60","Pass","257",,,"1","114259, 114259.1, 114259.4, 114259.5 - Eliminate the infestation/activity of cockroaches/rodents/flies/vermin from the food facility by using only approved methods. Remove all evidence of the infestation and thoroughly clean and sanitize all affected surfaces. Construct, equip, maintain and operate the food facility so as to prevent the entrance and harborage of animals, birds and vermin including, but not limited to, rodents and insects.","37.72958400000100","-122.4047520000020","POINT (-122.404752 37.729584)","Portola","9","2025-07-01T10:09:15.000","2025-12-17T02:36:11.797"
